acc1	acc2	block_id	fraction	evidence_source
GSE211692	GSE106817	Toray-3D-cluster	0.945	GEO_SuperSeries
GSE211692	GSE110317	Toray-3D-cluster	0.945	GEO_SuperSeries
GSE211692	GSE112264	Toray-3D-cluster	0.945	GEO_SuperSeries
GSE211692	GSE113486	Toray-3D-cluster	0.945	GEO_SuperSeries
GSE211692	GSE113740	Toray-3D-cluster	0.945	GEO_SuperSeries
GSE211692	GSE122497	Toray-3D-cluster	0.945	GEO_SuperSeries
GSE211692	GSE124158	Toray-3D-cluster	0.945	GEO_SuperSeries
GSE211692	GSE137140	Toray-3D-cluster	0.945	GEO_SuperSeries
GSE211692	GSE139031	Toray-3D-cluster	0.945	GEO_SuperSeries
GSE211692	GSE164174	Toray-3D-cluster	0.945	GEO_SuperSeries
GSE211692	GSE201359	Toray-3D-cluster	0.945	GEO_SuperSeries
GSE211692	GSE73002	Toray-3D-cluster	0.945	GEO_SuperSeries
GSE211692	GSE117064	Toray-3D-cluster	NA	miRPOC_catalog
GSE211692	GSE120584	Toray-3D-cluster	NA	miRPOC_catalog
GSE73002	GSE59856	Toray-V20-cluster	NA	GSE73002_series_overall_design
GSE40247	GSE39833	GEO-SuperSeries-CRC	NA	GEO_SuperSeries
GSE262260	GSE314577	VUMC-PDAC-NanoString	0.870	VUMC_local_audit
GSE279209	GSE76462	COSMOS-LDCT	NA	COSMOS_screening_cohort
GSE145176	GSE145176	audited_independent	NA	BioProject_PRJNA606260
GSE94533	GSE94533	audited_independent	NA	BioProject_PRJNA371423
GSE150956	GSE150956	audited_independent	NA	BioProject_PRJNA634142
GSE188232	GSE188232	audited_independent	NA	BioProject_PRJNA777954
GSE188627	GSE188627	audited_independent	NA	BioProject_PRJNA779718
GSE198834	GSE198834	audited_independent	NA	BioProject_PRJNA817160
GSE210329	GSE210329	audited_independent	NA	BioProject_PRJNA865281
GSE320031	GSE320031	audited_independent	NA	BioProject_PRJNA1426029
GSE64591	GSE64591	audited_independent	NA	BioProject_PRJNA271363
GSE70080	GSE70080	audited_independent	NA	BioProject_PRJNA287573
GSE71008	GSE71008	audited_independent	NA	BioProject_PRJNA290097
GSE63108	GSE63108	audited_independent	NA	BioProject_PRJNA266650
GSE137109	GSE137109	audited_independent	NA	BioProject_PRJNA564555
GSE117063	GSE117063	audited_independent	NA	BioProject_PRJNA480965
