fnames,Sample0,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19
A1BG,26.0302,120.1349,50.8597,145.9037,127.3671,67.1409,164.7134,21.9745,17.4375,126.5687,237.2049,243.9686,368.0002,95.3978,86.1017,138.7365,74.253,51.2577,103.77,99.6544
A1CF,0.0,0.322,0.0,0.0,0.0,36.2416,0.0,0.0,15.9212,0.0,0.3747,0.0,0.0,0.0,0.0,0.5692,0.0,0.0,0.0,0.0
A2BP1,1.7454,1.6098,0.0,0.0,0.0,0.0,97.7167,0.0,0.0,0.0,1.124,0.0,0.5388,0.0,0.3082,0.0,0.4745,0.0,1.3937,0.0
A2LD1,135.5022,89.0629,151.1332,112.0685,87.5748,111.8624,64.9465,180.7029,133.5785,228.6295,91.5024,59.8984,110.6102,154.3228,57.1125,68.1047,70.1963,60.2753,81.6237,78.6636
A2M,9844.7858,25712.6617,16943.6359,23326.2727,48314.5571,7798.896,14147.7758,4611.4227,24726.2775,5078.8294,61787.8157,33512.8328,109322.1173,63184.0406,133594.6379,68335.7314,135432.6125,133695.1685,113644.1812,73240.7488
A2ML1,0.3491,1.6098,0.0,4.7861,0.0,36.5772,0.6387,390.8484,0.7582,19.2159,0.0,0.3649,0.0,2.8908,0.6163,50.0854,0.0,0.0,1.0453,0.768
A4GALT,130.9015,578.5562,356.4619,554.4677,152.7184,399.3289,657.8317,622.7803,210.7657,843.291,604.3462,556.0745,422.4189,185.0139,690.2928,500.8537,492.9638,591.3621,643.2056,631.7204
A4GNT,1.0472,0.6439,0.9948,2.1537,1.8326,2.349,0.6387,0.5369,0.7582,5.3009,4.4961,3.2839,3.7716,0.9636,2.7735,1.7075,1.8978,4.2715,1.3937,1.1521
AAA1,0.0,0.322,1.3264,1.4358,0.0,0.3356,5.747999999999999,0.0,0.7582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAAS,651.0167,604.3128,588.5766,608.3112,665.8522,715.4362,709.5641,899.8102,595.906,878.1888,612.589,530.1681,544.7264,468.3164,550.6934,608.9926,553.2202,555.7665,571.0801,474.2704
AACS,803.5605,999.9976,754.0413,1079.9796,709.8351,1405.7047,1566.6613,726.6665,694.4655,1604.1966,608.4676,591.4677,502.1613,453.8622,488.7519,581.6733,547.0522,599.4305,521.6028,848.6943
AACSL,0.6981,0.0,0.6632,2.6323,3.6652,0.3356,0.0,0.0,0.0,0.0,0.7493,1.8244,5.9268,3.8545,3.698,13.0905,3.3212,0.9492,1.0453,2.6882
AADAC,3.4907,266.9021,26.1958,3.5896,34.8198,199.6644,0.0,121.6032,186.5049,15.6819,197.8269,50.7181,308.7322,571.4231,313.7134,457.029,50.7672,246.7964,297.561,72.9647
AADACL2,0.6981,0.0,0.0,0.0,0.0,1.3423,0.0,0.0,0.0,0.0,0.0,0.0,0.5388,0.0,0.0,3.4149,1.8978,21.3574,0.0,0.0
AADACL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACL4,0.0,0.322,0.0,0.0,0.0,0.0,0.6387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3082,0.5692,0.0,0.9492,0.0,0.0
AADAT,53.0587,185.4471,81.9033,46.6643,100.7941,90.2685,247.8046,2.6844,90.2199,110.87799999999999,76.4331,75.1649,96.4451,131.0515,99.5378,127.49,75.9136,89.70100000000001,94.0767,69.1244
AAGAB,988.2189,904.3764,1148.3047,1005.556,1103.8485,1486.2416,575.4431,2033.4315,1724.7915,1060.6295,617.0851,772.4473,851.3034,1065.757,617.5655,759.2487,642.4186,626.9578,678.3972,788.4025
