hsa.miR.192.5p,hsa.let.7g.5p,hsa.let.7a.5p,hsa.miR.194.5p,hsa.miR.122.5p,hsa.miR.340.5p,hsa.miR.26b.5p,Class
3629,5443,393251,2207,1,121,6049,Control
182514,3518,139934,63780,1,35,3037,Case
173,897,66028,156,0,18,1739,Control
3860,14194,654876,1605,0,169,13142,Control
772,7944,421818,463,0,219,2418,Control
183325,4002,56672,29695,0,36,6518,Control
71715,6598,326974,25189,1,156,9480,Control
791,2510,105507,605,0,109,3234,Control
357,1589,100111,205,0,137,1278,Control
9296,15535,678730,5308,0,304,24692,Control
32405,1555,54824,18262,5,76,3428,Control
2716,3972,241425,1334,1,56,7017,Control
436975,8157,440207,110058,261639,332,13199,Control
26498,3446,68400,6883,3,9,3065,Control
29708,1105,104420,15619,1,17,1017,Case
310956,7449,275640,105894,215459,302,14075,Control
70535,3189,103414,21733,1,51,7619,Control
900,3381,281079,624,0,139,3262,Control
22056,1602,150004,14695,0,37,1534,Case
755,1158,59996,347,0,70,1726,Control
303652,7040,265664,101767,256830,276,12184,Control
386,1753,97463,134,0,70,1376,Control
498,1180,110704,488,1,45,1308,Control
93851,2099,109889,36754,23,23,2028,Case
27801,2795,71727,9382,1,31,2210,Control
20611,3563,228664,5286,1,52,2408,Control
738,944,75185,416,0,39,1554,Control
157388,3883,142007,53301,132992,178,8516,Control
1327,3105,307262,1339,0,96,4253,Control
65222,2416,72720,16949,0,31,4701,Control
69612,2675,152039,39831,2,122,5186,Case
1518,4595,121088,421,0,59,1491,Control
1301,3070,203270,876,0,100,4317,Control
29505,6756,392679,11987,0,104,2466,Case
1712,6126,291698,1310,0,121,12932,Control
39900,4650,169688,17680,0,80,6840,Control
1130,3283,243710,960,0,112,4746,Control
1499,3461,221504,974,0,226,5044,Control
41034,2520,165261,28917,0,78,3230,Case
14412,1124,153528,8678,0,35,1681,Case
582,2281,201435,362,0,34,3780,Control
210251,3594,68933,55820,1,50,6009,Control
264990,3396,116183,125167,367637,133,11385,Control
82630,2464,109344,49905,0,51,4232,Case
135387,5306,236797,46983,1,70,7085,Control
2113,3558,443342,1715,0,96,5753,Control
676,4854,365104,535,0,171,2272,Control
162743,6002,262842,59150,0,61,10426,Control
19445,5208,244066,5164,1,100,8051,Control
9498,2036,96912,4778,0,53,2997,Case
6292,6468,321117,1565,2,41,17998,Control
7083,3346,168674,3858,2,166,5170,Case
23402,2221,32524,7040,0,16,2432,Control
828,2817,227519,540,0,49,8831,Control
1026,39,20569,586,0,0,24,Control
1986,4345,134988,974,1,31,7126,Control
406879,10820,299515,173687,259681,271,26526,Control
97706,3933,52265,17366,3,35,9010,Control
2233,4450,181131,660,3,1021,4225,Control
808,985,39742,327,0,39,1513,Control
165710,2273,209353,105831,0,26,2050,Case
94509,2441,177317,50834,0,56,3477,Case
2224,2498,237291,1682,0,90,4177,Control
501,850,78867,436,0,21,1223,Control
513,1376,70048,325,0,19,2674,Control
235,1185,83448,104,0,43,737,Control
753,1693,91352,416,0,52,4673,Control
725,1395,47402,191,0,9,1021,Control
46365,1148,142939,20997,0,27,1072,Case
47039,1407,53132,25865,0,52,3060,Control
856,1605,184425,631,0,98,2654,Control
20590,1901,96111,7686,0,59,1901,Case
6472,12035,477230,3337,0,326,19862,Control
409,1277,131029,365,0,26,1921,Control
61111,2503,53183,15408,1,19,2984,Control
270,832,79018,237,0,21,1636,Control
334,708,64753,333,0,15,919,Control
2677,2862,122198,938,0,20,5195,Control
3516,4068,295428,1600,0,96,6696,Control
